content,label
"Thank you for the information you support, my side will consult and prepare. If you have any problems, I will talk to you more.

Have a nice day!",Customer Care Department
"Subject: cruise 3 nts mexico only $ 197 ! - - tremendous savings inside
travelocitylast minute air w / car rental in the u . s 168
expediacruise carnival - 3 or 4 nts from only 279
travel by jen . compuerto plata , air , 7 nts , all - inclusive 499
expediasummer in las vegas , air + 2 nts strip hotel 189
travelocityaruba hotel sale only 79
hotwire . comrent a full size car only 19 . 95
brazilian wave toursrio de janeiro special w / air from 549
sea escapescruise 3 nts rccl baja mexico only 197
cheapcaribbean . comjamaica , all - inc , club ambiance w / air 499
jet - a - way holidayscosta rica , 8 days all - inclusive only 619
gate 1 travel 6 days florence , hotel & air only 579
flycheapabroad . comfly to panama city this summer from only 319
cruisedeals . com 5 nt caribbean cruise from texas only 279
octopustravel . comtremendous savings , hawaii hotels 59 . 00 inc tax
usatravelmart . comcozumel , air , 7 nts , all - inclusive 579
7 blueseascruise from ny , 7 nt bahamas / florida 526
beach destinationspuerto vallarta , air , 5 days , sup . all - inc 475
only fun vacationslast minute cruise deals from only 289
gotmyfare . comcancun , air , 7 nts hotel & taxes 599
filfranck toursparis , stay for only 79 a night
topdest . comrio de janerio and buenos aires 7 days w / air 999
stop subscription - zorps . com , 300 carlsbad village drive 108 a , carlsbad , ca 92008 - abuse @ zorps . com
",Spam Email
"Hi,

If I Give You 15% Discount, We will make a loss.

No Meaning To Do This Order, We Can Support Most Is 3% Discount.

Thank you.",External Relationship Department
"We would like send you Schedule for this shipment as below. 
Pls delivery cargo for DHL. Thanks 


Your courier Pickup has been scheduled as follows: 
Date of Pickup: 2019-03-21 12:16:52 
Ready By: 01:30 
Closing Time: 03:00 
Your Confirmation Number is: 158566 
Note: 
If pickup details change, please notify DHL Customer Services at 1800-2858888",External Relationship Department
"Subject: re : your code # 5 g 6878
hi again ,
i sent an email 2 days ago and i want to confirm everything now .
please read the info below and let me know if you have any questions .
we are accepting your * mortgage application * . if you have poor cred it ,
it ' s ok . you could get a $ 200 , 000 loa n for a $ 450 / month payment .
appr oval process will take 1 minute . please visit the link below and
fill short form .
http : / / ratelower . com / ? partid = rbues
sincerely ,
manager : emil gage
first capital lenders lenders
* courtesy options * for you :
ratelower . com / st . html
",Spam Email
"Hi Tuan, 

yes, right now it will be approx. CW 05/ 2023. The last working day of this week is Friday, 3rd February 2023.

The shutter will be ready for your forwarding company to be picked up in CW 05/2023 according to current state of knowledge. 

I will let you know if I have the exact completion date or if there is any change regarding the completion date. 

We will do our best and take your order with the highest priority.

Sincerely,

Hien",Sales Department
"Dear Mr. Trong, 

I send you the UNC in the attached file. 
Please check with the accountant and confirmed with me. 

Thank you.",Sales Department
"We got information. 

They picked up cargo. 

The number of package is different from prior information by KHI. 
We are checking it. 

According to SMJ, export packing will be finished tomorrow(8 June). 
After we get the information about dimension and gross weight, we will add those information onto the shipping list. (Draft is done.) 

C/O shall be applied the cargo information is fixed. 
(We need 2 step to get the certificate. 1) Judgment (Done) 2)Application (From now).",External Relationship Department
"First of all, please confirm that end user to purchase bokwang without data sheet. 
And we need your draft Po to issue Profoma invoice.",External Relationship Department
"Overall, I'm not particularly pleased with the store. I ordered a laptop that arrived with a defect. After 10 telephone conversations, I had to take it to a service from where they forwarded him to another service. After 4 days, they returned the same laptop with a replaced LCD cable.",Customer Care Department
